Sex;Diet;Bodyweight
F;chow;2853
F;chow;2843
F;chow;2081
F;chow;27
F;chow;2455
F;chow;2118
F;chow;2177
F;chow;238
F;chow;2099
F;chow;2311
F;chow;2482
F;chow;2259
F;chow;1847
F;chow;211
F;chow;2583
F;chow;1631
F;chow;2479
F;chow;2608
F;chow;3274
F;chow;2726
F;chow;3124
F;chow;3381
F;chow;2352
F;chow;2773
F;chow;2826
F;chow;233
F;chow;1883
F;chow;277
F;chow;1979
F;chow;272
F;chow;254
F;hf;3092
F;hf;29
F;hf;228
F;hf;202
F;hf;3328
F;hf;3014
F;hf;2447
F;hf;2293
F;hf;354
F;hf;1797
F;hf;2829
F;hf;1835
F;hf;2749
F;hf;2805
F;hf;251
F;hf;2844
F;hf;3011
F;hf;3013
F;hf;2754
F;hf;3197
F;hf;269
F;hf;2107
F;hf;2286
F;hf;2274
F;hf;3365
F;chow;2675
F;chow;2345
F;chow;2477
F;chow;2339
F;chow;2295
F;chow;2184
F;chow;284
F;chow;2821
F;chow;3336
F;chow;2913
F;chow;2421
F;chow;2299
F;chow;2468
F;chow;2467
F;chow;2512
F;chow;2395
F;chow;2569
F;chow;2836
F;chow;2496
F;chow;2736
F;chow;2691
F;chow;2658
F;chow;2339
F;chow;2025
F;chow;2322
F;hf;2356
F;hf;2567
F;hf;2922
F;hf;4142
F;hf;3402
F;hf;2744
F;hf;3196
F;hf;2102
F;hf;2949
F;hf;2194
F;hf;2785
F;hf;3942
F;hf;2635
F;hf;2252
F;hf;2707
F;hf;3647
F;hf;2147
F;hf;2411
F;hf;2814
F;hf;2034
F;hf;2837
F;hf;2414
F;hf;2508
F;hf;3186
F;hf;2648
M;hf;2781
M;hf;2945
M;hf;3511
M;hf;3125
M;hf;3826
M;hf;2906
M;hf;428
M;hf;3234
M;hf;
M;hf;3548
M;hf;3305
M;hf;3706
M;hf;2971
M;hf;344
M;hf;3942
M;hf;3632
M;hf;4148
M;hf;4627
M;hf;3748
M;hf;3634
M;hf;267
M;hf;3677
M;hf;4183
M;hf;3789
M;chow;4523
M;chow;2373
M;chow;3403
M;chow;2498
M;chow;2856
M;chow;2932
M;chow;3916
M;chow;3204
M;chow;3209
M;chow;2416
M;chow;2738
M;chow;3029
M;chow;3679
M;chow;2863
M;chow;3101
M;chow;3211
M;chow;3122
M;chow;3205
M;chow;2458
M;chow;3515
M;chow;3071
M;chow;3281
M;chow;3396
M;chow;2934
M;chow;3156
M;chow;3551
M;chow;362
M;chow;3664
M;chow;2514
M;chow;321
M;chow;2874
M;chow;3155
M;chow;2888
M;chow;3621
M;chow;3339
M;chow;3383
M;chow;3411
M;chow;2938
M;chow;3171
M;chow;3195
M;chow;3177
M;chow;33
M;chow;3164
M;chow;375
M;chow;2366
M;chow;3392
M;chow;3163
M;chow;2565
M;chow;3998
M;chow;2563
M;hf;2669
M;hf;4171
M;hf;2845
M;hf;3585
M;hf;3874
M;hf;3554
M;hf;3862
M;hf;3209
M;hf;2988
M;hf;2976
M;hf;4125
M;hf;2764
M;hf;3562
M;hf;4002
M;hf;3663
M;hf;4289
M;hf;285
M;hf;3459
M;hf;4081
M;hf;3658
M;hf;3447
M;hf;3829
M;hf;2261
M;hf;3409
M;chow;2819
M;chow;3389
M;chow;2987
M;chow;2972
M;chow;2664
M;chow;3985
M;chow;33
M;chow;3663
M;chow;3137
M;chow;3346
M;chow;2999
M;chow;2419
M;chow;2931
M;chow;3183
M;chow;288
M;chow;3224
M;chow;2989
M;chow;3653
M;chow;24
M;chow;3798
M;chow;2524
M;chow;3148
M;chow;2921
M;chow;2591
M;chow;2909
M;hf;3329
M;hf;2993
M;hf;3355
M;hf;3058
M;hf;3563
M;hf;2686
M;hf;3053
M;hf;3695
M;hf;3678
M;hf;2951
M;hf;4025
M;hf;3128
M;hf;4047
M;hf;3765
M;hf;325
M;hf;4893
M;hf;2357
M;hf;3675
M;hf;3643
M;hf;3295
M;hf;3186
M;hf;3266
M;hf;4126
M;hf;4134
M;hf;2926
M;hf;3527
M;chow;2727
M;chow;2566
M;chow;3206
M;chow;3311
M;chow;2573
M;chow;3276
M;chow;3081
M;chow;3314
M;chow;292
M;chow;2765
M;chow;2692
M;chow;2729
M;chow;2766
M;chow;2881
M;chow;2601
M;chow;2878
M;chow;2976
M;chow;2991
M;chow;2987
M;chow;2565
M;chow;2567
M;chow;3625
M;chow;2793
M;chow;325
M;chow;2736
M;hf;3674
M;hf;4744
M;hf;392
M;hf;3758
M;hf;3978
M;hf;4814
M;hf;2645
M;hf;4918
M;hf;3483
M;hf;3908
M;hf;471
M;hf;2716
M;hf;3294
M;hf;3106
M;hf;5408
M;hf;3182
M;hf;3522
M;hf;4009
M;hf;3636
M;hf;2477
M;hf;4036
M;hf;3518
M;hf;2962
M;hf;3713
M;hf;3834
M;chow;3118
M;chow;3032
M;chow;2779
M;chow;3235
M;chow;2764
M;chow;3462
M;chow;3938
M;chow;3093
M;chow;3281
M;chow;3083
M;chow;3922
M;chow;3448
M;chow;3453
M;chow;3211
M;chow;3627
M;chow;3002
M;chow;2854
M;chow;3352
M;chow;3343
M;chow;3685
M;chow;2467
M;chow;334
M;chow;3129
M;chow;2363
M;hf;3272
M;hf;2857
M;hf;4209
M;hf;3318
M;hf;2856
M;hf;
M;hf;3072
M;hf;2434
M;hf;3454
M;hf;3334
M;hf;2939
M;hf;4324
M;hf;3115
M;hf;326
M;hf;338
M;hf;2979
M;hf;2407
M;hf;3402
M;hf;3101
M;hf;3573
M;hf;3983
M;hf;3127
M;hf;3354
M;chow;278
M;chow;231
M;chow;2726
M;chow;3223
M;chow;2817
M;chow;3223
M;chow;2959
M;chow;2633
M;chow;3184
M;chow;2626
M;chow;2123
M;chow;3029
M;chow;2541
M;chow;3355
M;chow;2669
M;chow;2604
M;chow;2242
M;chow;2822
M;chow;3291
M;chow;3265
M;chow;2694
M;chow;2779
M;chow;3363
M;chow;2167
M;chow;3289
M;hf;3076
M;hf;3731
M;hf;3331
M;hf;291
M;hf;3378
M;hf;3367
M;hf;3966
M;hf;3823
M;hf;3653
M;hf;3713
M;hf;3343
M;hf;2905
M;hf;3303
M;hf;3673
M;hf;437
M;hf;2352
M;hf;3984
M;hf;3315
M;hf;3712
M;hf;3613
M;hf;3092
M;hf;2369
M;hf;3319
M;hf;3682
M;hf;3197
M;chow;2908
M;chow;3317
M;chow;4028
M;chow;3273
M;chow;3166
M;chow;2957
M;chow;2729
M;chow;3517
M;chow;3036
M;chow;3713
M;chow;3644
M;chow;2988
M;chow;2777
M;chow;4231
M;chow;2072
M;chow;2965
M;chow;2655
M;chow;3435
M;chow;3298
M;chow;3535
M;chow;321
M;chow;23
M;chow;407
M;chow;
M;chow;2895
M;chow;2839
M;chow;3513
M;chow;2916
M;chow;3269
M;chow;2642
M;chow;3177
M;chow;2701
M;chow;3058
M;chow;2576
M;chow;3837
M;chow;3751
M;chow;3503
M;chow;3247
M;chow;2985
M;chow;362
M;chow;2818
M;chow;361
M;chow;4045
M;chow;3055
M;chow;2296
M;chow;2861
M;chow;322
M;chow;3321
M;chow;4671
M;chow;3053
M;hf;3013
M;hf;3658
M;hf;3623
M;hf;4103
M;hf;3294
M;hf;3498
M;hf;4146
M;hf;3519
M;hf;2542
M;hf;4078
M;hf;3481
M;hf;2992
M;hf;389
M;hf;3278
M;hf;4194
M;hf;3401
M;hf;4295
M;hf;3048
M;hf;4026
M;hf;4028
M;hf;2757
M;hf;4198
M;hf;3973
M;hf;4579
M;hf;3802
M;chow;308
M;chow;3583
M;chow;2599
M;chow;3658
M;chow;318
M;chow;2871
M;chow;3702
M;chow;3251
M;chow;2665
M;chow;3215
M;chow;3383
M;chow;2707
M;chow;2838
M;chow;417
M;chow;3087
M;chow;2921
M;chow;3474
M;chow;3006
M;chow;3353
M;chow;3086
M;chow;279
M;chow;3157
M;chow;2609
M;chow;2314
M;chow;3128
M;hf;3081
M;hf;3621
M;hf;3921
M;hf;3799
M;hf;3969
M;hf;3698
M;hf;2452
M;hf;3853
M;hf;3383
M;hf;3004
M;hf;2703
M;hf;3489
M;hf;
M;hf;
M;hf;3207
M;hf;2248
M;hf;3093
M;hf;2969
M;hf;3452
M;hf;3085
M;hf;3643
M;hf;2409
M;hf;3218
M;hf;3414
M;hf;4182
